Row,Release,Update,File,Applied/Skipped/Already present/Not found,Lines changed (this branch),Anchors used,Rationale
1,5.1.0,"New Scrollspy Navigation section...",sections/scroll-spy.liquid,Applied,185,N/A,"New file added from vendor branch."
2,5.1.0,"Added support for badges on product pages...",sections/main-product.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
3,5.1.0,"Portfolio section columns misaligned on mobile.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
4,5.1.0,"Freescroll layout duplicated single product image.",snippets/product-media-gallery.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
5,5.1.0,"Incorrect placement of collection count...",snippets/collection-card.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
6,5.1.0,"Unexpected spacing in scrolling banner...",snippets/highlighted-text.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
7,5.1.0,"Overly large product card images in Tabbed Mega Menu.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
8,5.1.0,"Broken heading layout inside Tabbed Mega Menu.",snippets/header-nav-mega.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
9,5.1.0,"Tooltip misalignment for sibling product options.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
10,5.1.0,"Italian gift card translation issue.",locales/it.json,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
11,5.1.0,"Missing styling for article tags.",assets/article.css,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
12,5.1.0,"Text highlight lines wrapped incorrectly.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
13,5.1.0,"Option size selector too dense...",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
14,5.1.0,"Scaled preview image not fully visible...",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
15,5.1.0,"Overlapping thumbnails on Firefox.",assets/theme.css,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
16,5.1.0,"Incorrect hover image size on subcollection breadcrumbs.",assets/collection.css,Applied,547,N/A,"New file added from vendor branch."
17,5.1.0,"Delayed popup close icon on mobile.",assets/newsletter-popup.css,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
18,5.1.0,"Broken product list layout in Tabbed Mega Menu.",snippets/header-nav-mega.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
19,5.1.0,"Slideshow first-slide video prevents adaptive size.",sections/slideshow.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
20,5.1.0,"Sorting failed when filters disabled.",sections/main-collection.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
21,5.0.1,"Show On Model didn’t work without second image.",snippets/product-card.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
22,5.0.1,"Gift wrap drawer heading “undefined”.",snippets/gift-wrapping-list-horizontal.liquid,Applied,163,N/A,"New file added from vendor branch."
23,5.0.1,"Collection Load More button not working.",assets/collection.js,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
24,5.0.0,"Product Comparison section.",sections/product-comparison.liquid,Applied,1042,N/A,"New file added from vendor branch."
25,5.0.0,"Per-product gift wrap options.",sections/cart-drawer.liquid,Skipped (customised),N/A,"24","File has been modified on main. A full diff patch has been generated for review."
26,5.0.0,"Product-card hover videos.",snippets/product-card.liquid,Skipped (customised),N/A,"24","File is on the protected list. A minimal patch has been generated from vendor line numbers."
